,Plant,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,System_Initialize,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,Lunch_Break,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,Date
11,Ace (Embilipitiya),49.98,5.72,0,0,0,0,0,0,0,0,65.8607,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,34.32,7/22/2020
15,Ace (Embilipitiya),66.97,31.46,31.46,31.46,31.46,31.46,31.46,31.46,31.46,31.46,84.1156,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,37.18,2020 - 07 - 3.
123,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,7.14,26.1814,77.4077,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,52.2631,7/20/2020
148,Ace (Embilipitiya),47.16,35.7094,35.7094,34.32,34.32,34.32,34.32,34.32,34.32,34.32,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,40.3077,2020 - 07 - 8.
184,Ace (Embilipitiya),37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,41.46,61.27,84.26,67.14,56.3715,56.3715,73.4915,75.7,88.54,92.82,88.54,92.82,92.82,92.82,92.82,80.814,72.254,68.6643,90.5143,92.82,85.6783,92.82,92.82,84.26,71.1756,71.42,62.86,88.54,92.82,86.1039,86.1039,77.5439,60.4239,91.8699,75.0232,50.2933,50.2933,17.16,2020 - 07 - 6.
188,Ace (Embilipitiya),60,38.6,34.32,47.16,34.32,34.32,34.32,35.7389,34.32,34.32,34.32,38.6,47.16,51.44,34.32,34.32,34.32,34.32,34.32,35.8266,35.8266,36.2929,36.2929,44.3866,34.32,34.32,34.32,34.32,34.32,47.16,51.44,36.9777,34.32,38.6,47.16,60,34.32,77.12,85.68,85.68,85.68,85.68,85.68,74.26,69.98,24.3,0,0,7/12/2020
217,Ace (Embilipitiya),85.68,85.68,85.68,85.68,85.1722,81.1722,61.1722,45.1722,57.1722,34.32,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,72.3893,85.68,7/14/2020
248,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,42.0065,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,78.2529,13.2529,7/18/2020
279,Ace (Embilipitiya),37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,84.0494,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,71.6017,37.18,37.18,7/28/2020
431,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,77.9256,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,49.98,11.44,7/13/2020
436,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8277,85.68,75.7249,85.68,85.68,50.8946,34.32,34.32,34.32,34.32,34.32,7/19/2020
469,Ace (Embilipitiya),34.0387,34.0387,22.0747,22.0747,22.0747,20.02,20.02,20.02,20.02,39.8255,39.8255,39.8255,39.8255,39.8255,39.8255,39.8255,39.8255,22.7055,22.7055,22.7055,22.7055,22.7055,28.6306,28.6306,28.6306,26.9855,26.9855,26.9855,38.6855,38.6855,37.2394,37.2394,37.2394,37.2394,37.2394,45.7994,45.7994,45.7994,45.7994,45.7994,45.7994,41.7503,32.9594,20.02,20.02,20.02,20.02,20.02,7/25/2020
484,Ace (Embilipitiya),14.28,6.0722,5.72,5.72,5.72,5.72,5.72,5.72,11.0722,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,34.32,7/15/2020
488,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,14.28,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,86.8,37.18,7/24/2020
569,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,87.1062,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,37.18,7/23/2020
574,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,51.7967,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,43.9575,38.2375,7/17/2020
579,Ace (Embilipitiya),79.0429,40,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,50,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,71.4,23.8631,7/11/2020
616,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/26/2020
764,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,42.84,20.2593,0,0,0,7/10/2020
812,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 4.
829,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 5.
869,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,6.5,40.82,62.1198,74.8814,74.8814,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.0497,46.0992,7/29/2020
949,Ace (Embilipitiya),30.2228,17.16,17.16,17.16,17.16,17.16,17.16,17.16,18.5376,26.5376,61.36,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5,82.4626,48.5026,7/27/2020
954,Ace (Embilipitiya),37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,37.18,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,92.82,60.7732,37.18,2020 - 07 - 7.
967,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,77.9256,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,49.98,11.44,7/21/2020
1038,Ace (Embilipitiya),85.68,85.68,85.68,85.68,78.7389,52.7389,37.7389,34.32,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,71.4,68.1736,2020 - 07 - 9.
1084,Ace (Embilipitiya),0,0,0,0,0,0,0,0,0,0,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,85.68,81.3171,70.1,34.32,7/16/2020
116,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,23.406,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,18.91,0,0,7/27/2020
136,ACE (Matara),0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2020 - 07 - 3.
159,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 5.
198,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,16,24,24,0,0,0,0,0,0,7/19/2020
199,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,7/24/2020
259,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,21.345,21.345,24,24,24,24,24,24,24,24,16,24,24,24,24,24,24,24,24,24,24,19.735,19.735,19.735,19.735,19.735,19.735,19.735,19.735,19.515,24,16,16,7/29/2020
317,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/26/2020
338,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,7/12/2020
376,ACE (Matara),0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2020 - 07 - 9.
462,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/10/2020
476,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,7/11/2020
550,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,2020 - 07 - 6.
608,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,17.628,0,2020 - 07 - 8.
656,ACE (Matara),24,0,0,0,0,0,0,0,0,17.392,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,7/15/2020
660,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16.219,16,7/23/2020
665,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,7/21/2020
671,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,23.843,23.843,23.843,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,7/20/2020
704,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,7/22/2020
712,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 4.
759,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,7/13/2020
783,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,19.823,19.823,22.428,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.201,16,16,16,7/28/2020
833,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,7/18/2020
926,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,16,16,7/16/2020
963,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/25/2020
998,ACE (Matara),24,24,16,24,16,16,16,16,16,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,24,7/14/2020
1018,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,0,24,24,17.57,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,0,0,0,7/17/2020
1074,ACE (Matara),0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,16,0,0,0,0,2020 - 07 - 7.
59,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/16/2020
90,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/21/2020
92,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/27/2020
327,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/11/2020
362,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 9.
381,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2020
433,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/12/2020
454,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 6.
535,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/17/2020
590,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 4.
612,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/13/2020
622,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 7.
669,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 3.
677,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 5.
678,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/18/2020
697,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/29/2020
706,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/25/2020
732,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/24/2020
736,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/20/2020
743,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/26/2020
930,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 8.
972,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/10/2020
976,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/28/2020
1000,ALTAAQ_Mahiya,0.13437,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,7/14/2020
1003,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/19/2020
1045,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/15/2020
1060,ALTAAQ_Mahiya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/23/2020
47,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/20/2020
93,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/27/2020
108,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/28/2020
158,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/22/2020
223,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 4.
225,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 6.
226,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 7.
280,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 8.
287,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/29/2020
533,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/12/2020
598,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/11/2020
684,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/23/2020
692,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/18/2020
719,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/10/2020
727,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/16/2020
749,ALTAAQ_Polon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7/17/2020
